Lambda_anchor,kappa,target_c,s_Lambda,theta_turnover,effective_persistence,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate,q_mean,q_var,mean_abs_perturbation,realized_churn_rate
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,256,25,0.005,5.2393,-0.038,-3.8379,0.0054,0.0252,0.1075,0.413,True,True,0.2423,0.0448,False,False,False,0.413,0.0309,0.0571,0.6194
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,256,50,0.0057,5.8236,-0.0329,-3.2515,0.0171,0.0248,0.1068,0.412,True,True,0.2421,0.0452,False,False,False,0.412,0.031,0.0573,0.6194
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,256,75,0.0049,5.2113,-0.0472,-4.3586,0.0159,0.0262,0.1401,0.4112,True,True,0.242,0.0465,False,False,False,0.4112,0.031,0.0574,0.62
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,256,100,0.0049,4.4456,-0.0504,-4.518,0.0033,0.0265,0.1401,0.411,True,True,0.242,0.0474,False,False,False,0.411,0.031,0.0574,0.6192
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,1024,0,0.0057,5.8361,-0.0416,-4.3298,0.0242,0.085,1.0676,0.4103,False,True,0.2407,0.0468,False,False,False,0.4103,0.0309,0.0581,0.6209
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,1024,25,0.0065,6.7049,-0.0398,-3.7449,0.0014,0.0221,0.1009,0.4123,True,True,0.2422,0.047,False,False,False,0.4123,0.0311,0.0573,0.6206
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,1024,50,0.0062,5.9941,-0.0442,-4.6199,0.0086,0.0219,0.0941,0.4122,True,True,0.2422,0.0472,False,False,False,0.4122,0.0309,0.0572,0.6205
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,1024,75,0.0055,6.0307,-0.0502,-4.709,0.0081,0.0233,0.1151,0.4134,True,True,0.2424,0.0466,False,False,False,0.4134,0.0309,0.057,0.6194
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,1024,100,0.0054,5.728,-0.056,-5.3561,0.0081,0.0235,0.1153,0.4129,True,True,0.2423,0.0472,False,False,False,0.4129,0.0309,0.0571,0.619
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,31415,0,0.004,4.1422,-0.0393,-4.0827,0.0401,0.0866,1.0747,0.4087,False,True,0.2404,0.0462,False,False,False,0.4087,0.0305,0.0582,0.6215
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,31415,25,0.0051,5.3449,-0.0425,-4.1164,0.0021,0.0225,0.1224,0.4117,True,True,0.2421,0.0468,False,False,False,0.4117,0.0309,0.0572,0.6216
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,31415,50,0.0054,5.6338,-0.0529,-5.4248,0.008,0.0239,0.1147,0.4115,True,True,0.2421,0.0472,False,False,False,0.4115,0.031,0.0573,0.6209
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,31415,75,0.0055,5.9494,-0.0587,-6.1973,0.0022,0.0251,0.1187,0.4112,True,True,0.242,0.0474,False,False,False,0.4112,0.0312,0.0575,0.6206
