run_id,mode,stage,c_label,kappa,tier,u_const,seed,window_start_tick,window_start_block,window_start_schedule_phase,window_in_primary_family,primary_exclusion_reason,window_mean_rho,raw_Psi_meanI_state,Psi_meanI_state_z,raw_Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_active_state_variance,persistence_std,Steady_State_Candidate_APPARATUS_ONLY,Lifted_Activation_Candidate_APPARATUS_ONLY,extinction_degenerate_APPARATUS_ONLY,saturation_degenerate_APPARATUS_ONLY,LowLow_Nondegenerate_Candidate_APPARATUS_ONLY,analytic_realized_delta_p_u0_convention,driven_realized_contrast_mean,driven_realized_contrast_range,window_schedule_composition
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,125,5,2,True,,0.399536,-0.000207523356784065,0.08170121822033063,-0.018798743734068816,-1.8634536593613353,0.01566413495384526,0.02519337335155424,0.13816026556265207,0.23980566720000007,0.04958250401099162,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,150,6,0,True,,0.400732,-0.0010118100391957167,-0.5036565578357095,-0.01203135291738656,-1.1494262250176677,0.004931269793352672,0.024728142441023903,0.13774792096027297,0.24004766880000003,0.049471448088771366,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,175,7,1,True,,0.40084,-5.410554549673926e-05,0.3254879315732195,-0.011083773075327923,-1.0167928489613207,0.012355691181446148,0.024369103280878247,0.1427003289524491,0.24007187839999997,0.049260272025233476,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,200,8,2,True,,0.4002200000000001,-0.00035489754332477435,0.05657515221518741,-0.006866842579881181,-0.7297059442144824,0.011535809491361737,0.023192577463086953,0.14292139287661443,0.2399577936,0.04888263086209661,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,225,9,0,True,,0.399452,-0.001990247078984684,-1.5116864158760337,-0.005320313885544258,-0.5342548245207001,0.01142579432376044,0.023161649257030938,0.11816188148222599,0.23980450080000004,0.0486076094454356,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,250,10,1,True,,0.3985040000000001,0.00019340420712245926,0.579846585707293,-0.013090737802545322,-1.1092087633967282,0.01030316025624708,0.024002787741626536,0.11543171432298877,0.23960706880000004,0.04935506036872005,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,275,11,2,True,,0.398752,-0.00048756547997658785,-0.058843211538633686,0.0034706881195926353,0.3567107725930236,0.0005381326177868555,0.023343103305897676,0.11636305243268233,0.2396622016,0.04952456457153359,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,300,12,0,False,EXITS_PRIMARY_BLOCK_SET,0.3987719999999999,8.24410461145516e-05,0.43288373707906397,0.0021921542798594503,0.27838307903737836,0.006065425521655656,0.0228931893862271,0.11635721636334244,0.23966955040000001,0.048619872644835256,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,0,0,0,False,PRE_PRIMARY_PHASE_IMBALANCE,0.3965159999999999,-0.0002303657430655486,0.18500141912467544,0.0034657322627181623,0.3957117124936547,0.039327843952358464,0.07834840373966503,0.8261961665451176,0.2383259408,0.0487358363424698,False,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,25,1,1,False,PRE_PRIMARY_PHASE_IMBALANCE,0.39976400000000006,0.0007776583375316546,1.115236221424074,9.777723121762374e-05,0.03116351858882509,0.00763186551784924,0.02127994564577655,0.09705726354284697,0.23988037599999998,0.04895206128448525,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,50,2,2,False,PRE_PRIMARY_PHASE_IMBALANCE,0.39996000000000004,0.0005360141609037642,0.9467900515344461,-0.0040083492371152905,-0.539749195705029,0.010318463563734866,0.020704968792932814,0.09600960072004797,0.2399234208,0.04914629589297652,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,75,3,0,True,,0.40153200000000006,-0.0002192745314211573,0.2660842972112206,-0.008259874578150023,-0.7676232122750325,0.010399414142228782,0.02286153827275246,0.12153452247508412,0.2402197872,0.04844721845472658,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,100,4,1,True,,0.40067600000000003,7.358070612702528e-05,0.4888347988022634,-0.00653841488428967,-0.6772633056772404,0.016813469383127826,0.024663659880836193,0.12179416755235112,0.2400370864,0.049215272263800396,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,125,5,2,True,,0.3995439999999999,-0.0005733525481614518,-0.25781698985294343,0.00426664309429499,0.43594581984029,0.020195840489396644,0.026100051268063657,0.1291472275165007,0.2397998464,0.04909044778773157,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,150,6,0,True,,0.3995720000000001,-0.0009359229969641035,-0.44861371337705774,0.01452137211385672,1.5220460695527076,0.01179960424491329,0.02678581119720562,0.12913817752710846,0.23979966560000002,0.04921805376078985,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,175,7,1,True,,0.39837999999999985,-0.0003372473984611265,0.0663859543844389,0.001956344862137559,0.23504042247390244,0.00985147962597218,0.024916380243645266,0.12048797600158649,0.2395748464,0.04883498336233975,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,200,8,2,True,,0.39902400000000005,-0.0009944588422691803,-0.59871272561745,0.006407086711071633,0.5391697426185963,0.00018767665243492332,0.023189381257637535,0.12330085377495865,0.2397182272,0.050264176348568564,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,225,9,0,True,,0.39931599999999995,-0.001019366656309748,-0.6801555432693905,-0.004964271794720329,-0.3474541469334828,0.007819552032488382,0.021610221605703563,0.1101884219260224,0.23978826720000002,0.04963035506622938,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,250,10,1,True,,0.39949999999999997,-0.0004993707359980977,-0.13855509092163884,-0.010880847560757367,-1.1970481484459663,0.002688629306764232,0.022063175116245712,0.12215269055781557,0.2398220592,0.050144890068679976,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,275,11,2,True,,0.40008799999999994,-0.0006601268403497234,-0.22552762644659569,-0.012275246264290357,-1.2761437841816954,0.00868455802238816,0.021908454600906922,0.12197316559863541,0.23994076160000002,0.05005669042196058,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s1024,cm1,stageA,0.0,0.0,0.0,,1024,300,12,0,False,EXITS_PRIMARY_BLOCK_SET,0.40035200000000004,-0.0004829687737245785,-0.08233125008895095,-0.005353849627859648,-0.40735962725217456,0.0029808751722307783,0.023375275484231805,0.12189273408926961,0.23998269759999996,0.04973646646073683,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s31415,cm1,stageA,0.0,0.0,0.0,,31415,0,0,0,False,PRE_PRIMARY_PHASE_IMBALANCE,0.39502399999999993,-0.0011081021680304478,-0.6217785387809089,0.011248887185576232,1.068271463092122,0.05611237929225844,0.07968117194551412,0.8323544877466825,0.23798930240000007,0.048517619727270214,False,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s31415,cm1,stageA,0.0,0.0,0.0,,31415,25,1,1,False,PRE_PRIMARY_PHASE_IMBALANCE,0.399108,-0.0001724412929203787,0.15889805420538028,0.0010404172162630993,0.13741437274696797,0.004429319315193743,0.024172301714518004,0.1413151323919462,0.2397277328,0.04935467896765209,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s31415,cm1,stageA,0.0,0.0,0.0,,31415,50,2,2,False,PRE_PRIMARY_PHASE_IMBALANCE,0.399164,0.0002685009317544982,0.6645762132281205,-0.011626485136657056,-1.1657166466554838,0.007363123683568264,0.02470730489691879,0.13929111808857741,0.23973483680000005,0.0492046857931234,True,True,False,False,True,0.0,0.0,0.0,"{""0.0000"": 4}"
