run_id,block_idx,M_block,g_E_value,pre_bound_term,post_bound_term,Delta_j,bound_ratio,bound_active,realized_block_rho,raw_Psi_meanI_state_block,raw_Psi_persistence_I_block
R_E_bounded_kp0_7599_dp0_0518_s42,7,0.3611,-4.097,-0.2123,-0.0518,0.0518,0.9994,True,0.3613,0.0056,0.0718
R_E_bounded_kp0_7599_dp0_0518_s42,8,0.3613,-4.0333,-0.209,-0.0518,0.0518,0.9994,True,0.3607,0.0016,0.063
R_E_bounded_kp0_7599_dp0_0518_s42,9,0.3607,-4.2753,-0.2216,-0.0518,0.0518,0.9996,True,0.3628,0.0079,0.0939
R_E_bounded_kp0_7599_dp0_0518_s42,10,0.3628,-3.4155,-0.177,-0.0517,0.0518,0.9978,True,0.3639,0.0056,0.0713
R_E_bounded_kp0_7599_dp0_0518_s42,11,0.3639,-2.9888,-0.1549,-0.0516,0.0518,0.9949,True,0.3589,0.0064,0.0405
R_E_bounded_kp0_7599_dp0_0518_s42,12,0.3589,-4.9886,-0.2585,-0.0518,0.0518,0.9999,True,0.3658,0.0036,0.0751
R_E_bounded_kp0_7599_dp0_0518_s42,13,0.3658,-2.2374,-0.116,-0.0507,0.0518,0.9775,True,0.3625,0.0001,0.0457
R_E_bounded_kp0_7599_dp0_0518_s42,14,0.3625,-3.5493,-0.1839,-0.0517,0.0518,0.9983,True,0.3607,0.0057,0.056
R_E_bounded_kp0_7599_dp0_0518_s42,15,0.3607,-4.2625,-0.2209,-0.0518,0.0518,0.9996,True,0.3634,0.003,0.0805
R_E_bounded_kp0_7599_dp0_0518_s137,0,0.3714,0.0,0.0,0.0,0.0518,0.0,False,0.3689,0.0074,0.0627
R_E_bounded_kp0_7599_dp0_0518_s137,1,0.3689,-1.0146,-0.0526,-0.0398,0.0518,0.7677,False,0.3645,0.0005,0.0455
R_E_bounded_kp0_7599_dp0_0518_s137,2,0.3645,-2.7468,-0.1424,-0.0514,0.0518,0.9918,True,0.3611,0.0074,0.0504
R_E_bounded_kp0_7599_dp0_0518_s137,3,0.3611,-4.1161,-0.2133,-0.0518,0.0518,0.9995,True,0.3634,0.0063,0.0758
R_E_bounded_kp0_7599_dp0_0518_s137,4,0.3634,-3.199,-0.1658,-0.0517,0.0518,0.9967,True,0.3616,0.0077,0.0579
R_E_bounded_kp0_7599_dp0_0518_s137,5,0.3616,-3.9186,-0.2031,-0.0518,0.0518,0.9992,True,0.3589,0.0094,0.0749
R_E_bounded_kp0_7599_dp0_0518_s137,6,0.3589,-4.9949,-0.2589,-0.0518,0.0518,0.9999,True,0.3608,0.0086,0.0462
R_E_bounded_kp0_7599_dp0_0518_s137,7,0.3608,-4.2498,-0.2202,-0.0518,0.0518,0.9996,True,0.3641,0.0045,0.0723
