Lambda_anchor,kappa,target_c,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate
0.4,0.0,0.0,0.0,1024,300,-0.0005,-0.0823,-0.0054,-0.4074,0.003,0.0234,0.1219,0.4004,True,True,0.24,0.0497,False,False,True
0.4,0.0,0.0,0.0,31415,0,-0.0011,-0.6218,0.0112,1.0683,0.0561,0.0797,0.8324,0.395,False,True,0.238,0.0485,False,False,True
0.4,0.0,0.0,0.0,31415,25,-0.0002,0.1589,0.001,0.1374,0.0044,0.0242,0.1413,0.3991,True,True,0.2397,0.0494,False,False,True
0.4,0.0,0.0,0.0,31415,50,0.0003,0.6646,-0.0116,-1.1657,0.0074,0.0247,0.1393,0.3992,True,True,0.2397,0.0492,False,False,True
0.4,0.0,0.0,0.0,31415,75,0.0001,0.422,-0.0126,-1.2364,0.0017,0.0245,0.1264,0.3987,True,True,0.2396,0.0493,False,False,True
0.4,0.0,0.0,0.0,31415,100,-0.0004,0.0549,-0.0111,-1.0926,0.0017,0.0259,0.1264,0.3989,True,True,0.2397,0.0484,False,False,True
0.4,0.0,0.0,0.0,31415,125,0.0004,0.9147,-0.0015,-0.1039,0.0005,0.0257,0.1205,0.3985,True,True,0.2396,0.0485,False,False,True
0.4,0.0,0.0,0.0,31415,150,-0.0003,0.1543,-0.0079,-0.8837,0.0083,0.0247,0.1125,0.3984,True,True,0.2396,0.0482,False,False,True
0.4,0.0,0.0,0.0,31415,175,-0.0002,0.1587,-0.0064,-0.5883,0.0054,0.0261,0.1544,0.399,True,True,0.2397,0.0495,False,False,True
0.4,0.0,0.0,0.0,31415,200,0.0015,1.8633,-0.0099,-1.0083,0.0027,0.0247,0.1545,0.3986,True,True,0.2396,0.0488,False,False,True
0.4,0.0,0.0,0.0,31415,225,-0.0001,0.2889,-0.0074,-0.6354,0.0041,0.0241,0.1544,0.3991,True,True,0.2397,0.0483,False,False,True
0.4,0.0,0.0,0.0,31415,250,-0.001,-0.6011,-0.0016,-0.169,0.001,0.0247,0.154,0.4001,True,True,0.2399,0.0492,False,False,True
0.4,0.0,0.0,0.0,31415,275,-0.0012,-0.779,-0.0092,-0.8765,0.0008,0.0222,0.1243,0.3991,True,True,0.2397,0.0491,False,False,True
0.4,0.0,0.0,0.0,31415,300,-0.0024,-2.0449,-0.0061,-0.5251,0.006,0.0229,0.1238,0.4006,True,True,0.24,0.049,False,False,False
