run_id,Tick,rho,Moran_I_Act_Instant,Moran_I_Psi_Instant_RefOnly
flight6_probe1_overcrowding_20x20,1860,0.0725,[0.01477833],[0.1077249]
flight6_probe1_overcrowding_20x20,1870,0.0725,[-0.01310531],[0.05858964]
flight6_probe1_overcrowding_20x20,1880,0.07,[0.0687404],[-0.01226004]
flight6_probe1_overcrowding_20x20,1890,0.0525,[0.00741299],[0.08523225]
flight6_probe1_overcrowding_20x20,1900,0.0675,[-0.01280906],[0.09755239]
flight6_probe1_overcrowding_20x20,1910,0.0925,[-0.03491922],[0.07537688]
flight6_probe1_overcrowding_20x20,1920,0.0725,[-0.05028348],[0.14000876]
flight6_probe1_overcrowding_20x20,1930,0.07,[-0.00806452],[0.08180301]
flight6_probe1_overcrowding_20x20,1940,0.0825,[0.04219305],[0.18064024]
flight6_probe1_overcrowding_20x20,1950,0.0725,[-0.00381076],[0.05328418]
flight6_probe1_overcrowding_20x20,1960,0.06,[-0.04166667],[0.10042692]
flight6_probe1_overcrowding_20x20,1970,0.045,[-0.01803374],[0.16829746]
flight6_probe1_overcrowding_20x20,1980,0.06,[-0.00842199],[0.14572864]
flight6_probe1_overcrowding_20x20,1990,0.075,[-1.82536668e-17],[0.0907099]
flight6_probe1_overcrowding_20x20,2000,0.0775,[-0.01407466],[0.0787037]
flight6_probe1_overcrowding_20x20,2010,0.0625,[-0.024],[0.11188811]
flight6_probe1_overcrowding_20x20,2020,0.07,[-0.02726575],[0.13826491]
flight6_probe1_overcrowding_20x20,2030,0.0625,[0.01866667],[0.08997253]
flight6_probe1_overcrowding_20x20,2040,0.0675,[0.04676795],[0.13847118]
flight6_probe1_overcrowding_20x20,2050,0.0575,[-0.01487718],[0.11103839]
flight6_probe1_overcrowding_20x20,2060,0.0675,[0.01697945],[0.05092066]
flight6_probe1_overcrowding_20x20,2070,0.0675,[-0.02273856],[0.06973108]
flight6_probe1_overcrowding_20x20,2080,0.0725,[-0.00381076],[0.04452124]
flight6_probe1_overcrowding_20x20,2090,0.0825,[0.01742218],[0.10010285]
flight6_probe1_overcrowding_20x20,2100,0.065,[-0.00781571],[0.12903226]
flight6_probe1_overcrowding_20x20,2110,0.055,[-0.02212602],[0.07103825]
flight6_probe1_overcrowding_20x20,2120,0.065,[-0.00781571],[0.13172716]
flight6_probe1_overcrowding_20x20,2130,0.065,[-0.03866722],[0.07226562]
flight6_probe1_overcrowding_20x20,2140,0.0525,[-0.0051514],[0.12021858]
flight6_probe1_overcrowding_20x20,2150,0.06,[0.00265957],[0.07371671]
flight6_probe1_overcrowding_20x20,2160,0.0725,[0.0519565],[0.15789474]
flight6_probe1_overcrowding_20x20,2170,0.0525,[-0.03028019],[0.12353923]
flight6_probe1_overcrowding_20x20,2180,0.0525,[-0.03028019],[0.08182241]
flight6_probe1_overcrowding_20x20,2190,0.06,[-0.00842199],[0.10990712]
flight6_probe1_overcrowding_20x20,2200,0.0625,[0.02933333],[0.1875]
flight6_probe1_overcrowding_20x20,2210,0.07,[-0.01766513],[0.10282954]
flight6_probe1_overcrowding_20x20,2220,0.0625,[0.06133333],[0.19660313]
flight6_probe1_overcrowding_20x20,2230,0.0775,[-0.0315587],[0.06566723]
flight6_probe1_overcrowding_20x20,2240,0.0825,[-0.0238626],[0.12364013]
flight6_probe1_overcrowding_20x20,2250,0.075,[0.02702703],[0.02684995]
flight6_probe1_overcrowding_20x20,2260,0.05,[0.01315789],[0.08516663]
flight6_probe1_overcrowding_20x20,2270,0.0575,[-0.01487718],[0.07120743]
flight6_probe1_overcrowding_20x20,2280,0.0725,[-0.00381076],[0.10803601]
flight6_probe1_overcrowding_20x20,2290,0.0825,[-0.0238626],[0.11545014]
flight6_probe1_overcrowding_20x20,2300,0.07,[0.02073733],[0.10791993]
flight6_probe1_overcrowding_20x20,2310,0.0625,[0.01866667],[0.09722222]
flight6_probe1_overcrowding_20x20,2320,0.08,[0.0064538],[0.10132766]
flight6_probe1_overcrowding_20x20,2330,0.08,[-0.02751359],[0.14989591]
flight6_probe1_overcrowding_20x20,2340,0.07,[-0.00806452],[0.09580942]
flight6_probe1_overcrowding_20x20,2350,0.065,[-0.01809955],[0.11400869]
flight6_probe1_overcrowding_20x20,2360,0.095,[-0.01773771],[0.05439331]
flight6_probe1_overcrowding_20x20,2370,0.0575,[-0.02640987],[0.10627076]
flight6_probe1_overcrowding_20x20,2380,0.065,[-0.03866722],[0.14102024]
flight6_probe1_overcrowding_20x20,2390,0.0875,[0.02935421],[0.12]
flight6_probe1_overcrowding_20x20,2400,0.065,[-0.02838338],[0.07870492]
flight6_probe1_overcrowding_20x20,2410,0.0825,[-0.0238626],[0.08692237]
flight6_probe1_overcrowding_20x20,2420,0.07,[0.0015361],[0.09090909]
flight6_probe1_overcrowding_20x20,2430,0.05,[0.01315789],[0.06357162]
flight6_probe1_overcrowding_20x20,2440,0.09,[0.02319902],[0.06926407]
flight6_probe1_overcrowding_20x20,2450,0.07,[0.01113671],[0.18002647]
flight6_probe1_overcrowding_20x20,2460,0.0725,[0.01477833],[0.1465568]
flight6_probe1_overcrowding_20x20,2470,0.0825,[0.00916522],[0.05013879]
flight6_probe1_overcrowding_20x20,2480,0.08,[-0.01052989],[0.13658384]
flight6_probe1_overcrowding_20x20,2490,0.0625,[-0.00266667],[0.07926341]
flight6_probe1_overcrowding_20x20,2500,0.0625,[0.01866667],[0.05274889]
flight6_probe1_overcrowding_20x20,2510,0.0625,[0.04],[0.05094095]
flight6_probe1_overcrowding_20x20,2520,0.0875,[-0.04892368],[0.05660377]
flight6_probe1_overcrowding_20x20,2530,0.065,[0.04360346],[0.19787691]
